Func_id	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen01_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen03_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen04_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen05_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen06_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen07_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen10_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen12_06102014_R2	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen14_06102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen15_06102014_R2	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen16_06102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen17_06102014_R1
KO:K00001	7474	10219	10893	10735	7250	7453	8848	5712	5611	5636	13661	7807
KO:K00002	92	116	49	76	115	50	19	40	10	14	111	42
KO:K00003	6889	8815	9296	8908	6140	7083	10707	7289	7350	5169	14431	7473
KO:K00004	1634	1623	1538	1838	1163	1224	2576	942	1609	991	3279	1198
KO:K00005	73	171	155	316	102	82	37	152	117	137	265	46
KO:K00007	69	65	62	82	67	40	24	2	0	5	32	86
KO:K00008	10206	11428	12750	12105	8277	8602	22122	13591	13874	8930	20650	7855
KO:K00009	118	126	43	59	92	96	167	35	58	29	98	75
KO:K00010	4790	5100	5719	4914	3991	4074	6175	4528	4854	3237	8530	5558
KO:K00011	379	897	441	765	498	417	102	109	64	124	512	489
KO:K00012	10976	13111	13927	13502	8973	10301	12809	10262	9076	7470	21606	11859
KO:K00013	6185	7682	7107	7800	5968	5955	13701	7158	7805	5902	14141	6476
KO:K00014	4382	5622	4795	5042	4297	4408	10055	4236	4945	3810	11022	5487
KO:K00015	5147	5687	6322	5432	4807	5231	8859	5961	6239	4476	11093	5087
KO:K00016	848	1134	1202	760	1043	920	655	376	664	437	1933	1062
KO:K00018	711	941	614	940	804	657	3999	1104	1562	1047	1832	795
KO:K00019	2920	3477	3328	3239	2945	2781	4929	2706	2268	3360	5476	3157
KO:K00020	11418	16260	14124	15970	11466	11317	18563	10093	8998	8518	24384	10349
KO:K00021	696	956	1097	516	689	691	887	429	833	420	2144	1339
KO:K00023	2398	2899	3087	3073	2472	2455	2872	1463	1180	1825	3794	2605
KO:K00024	6599	8966	8441	8587	6293	6641	12642	6447	7474	5694	14612	9166
KO:K00027	4960	5759	5560	5743	3421	4098	8589	1815	4328	2305	9087	5108
KO:K00029	4953	7747	8326	7496	6567	6698	5137	4441	3020	3732	8601	7440
KO:K00030	4074	4792	5025	4462	3345	3211	5419	3920	4701	3404	9764	5061
KO:K00031	8521	11974	11799	12888	8587	9155	14464	6668	7070	6061	16745	11954
KO:K00032	41	62	114	60	41	28	44	28	41	42	70	105
KO:K00033	9922	12086	13021	12331	8289	9426	12833	6871	7899	6310	17939	11514
KO:K00034	3027	2962	2844	3111	2734	2583	6179	4523	4090	3304	6511	2709
KO:K00035	167	276	152	363	223	205	141	127	78	77	249	124
KO:K00036	17087	22052	23255	23066	13987	16017	18551	11419	11255	9560	26281	18626
KO:K00038	2104	2644	2206	2039	1417	1347	1252	758	846	840	4019	1614
KO:K00039	122	156	138	219	145	193	43	36	33	26	160	102
KO:K00040	563	586	445	783	420	429	628	229	182	158	737	525
KO:K00041	159	217	216	301	311	211	248	114	154	159	495	330
KO:K00042	3620	4277	4958	4260	3169	3303	8182	4221	4128	2971	8857	4186
KO:K00043	92	86	62	82	48	105	219	37	10	37	99	245
KO:K00045	653	611	522	751	359	333	569	104	160	154	664	573
KO:K00046	6443	6482	6239	6334	4283	4479	9545	5405	5091	4069	9959	5441
KO:K00048	85	84	60	25	31	18	12	14	53	49	160	58
KO:K00050	3667	4856	4869	5808	3750	4102	7950	4728	4171	3488	8250	3209
KO:K00052	8778	11011	12524	11661	8054	9508	13233	9512	9174	7052	20621	10376
KO:K00053	7173	8635	8417	8653	6361	6280	12259	6672	7234	5517	13902	8695
KO:K00054	445	404	359	536	551	368	2755	685	1600	1281	1096	561
KO:K00055	696	1068	611	980	591	467	1201	429	456	333	1645	366
KO:K00057	5892	7233	6099	6713	5287	5156	6560	4576	4401	3990	12980	6410
KO:K00058	17221	22424	21205	20897	16414	17900	26877	17226	14882	12416	38607	20277
KO:K00059	53391	66546	61502	61171	48765	45812	83754	45618	53156	38558	123237	54908
KO:K00060	4211	4690	5256	5131	3695	3821	6344	4612	4419	2943	7615	3521
KO:K00061	0	4	0	0	0	0	0	0	0	0	0	0
KO:K00064	2760	2071	1964	2703	2028	1962	4244	2344	1883	1247	3658	1219
KO:K00065	4072	4587	4070	3671	4474	3195	8398	4042	3740	3128	9409	3549
KO:K00066	1484	2121	2511	2279	1305	1560	3761	2584	2472	1472	4555	2227
KO:K00067	5057	6937	6368	6231	5131	5026	13272	6547	7259	5214	15448	5328
KO:K00068	159	173	108	130	199	134	295	604	322	235	819	169
KO:K00073	211	326	192	206	163	134	226	136	254	154	830	302
KO:K00074	11112	13061	14043	12401	8555	9861	14652	8897	11948	8707	26025	12996
KO:K00075	5575	6852	7033	7085	5040	5932	8912	5467	5850	4761	14048	5989
KO:K00076	685	806	603	722	464	470	556	329	638	519	1441	848
KO:K00077	10378	12432	13783	12004	9283	9662	10979	8041	6955	6119	22681	11191
KO:K00078	0	5	0	0	0	0	0	0	0	0	0	0
KO:K00079	82	87	85	45	56	60	3	39	37	36	175	97
KO:K00082	1741	1358	1402	1064	838	837	2453	874	1919	929	3873	1221
